"id, title, price, promo_price, url"
3596756,Конструктор LEGO DUPLO Town Гоночные машины 10947,5389,3769,https://www.detmir.ru/product/index/id/3596756/
3405544,Конструктор LEGO Disney Princess Королевская карета Золушки 43192,4309,3869,https://www.detmir.ru/product/index/id/3405544/
3405599,Конструктор LEGO Super Heroes Взлёт Домо 76156,9589,,https://www.detmir.ru/product/index/id/3405599/
3405622,Конструктор LEGO Ninjago Деревня Хранителей 71747,5389,,https://www.detmir.ru/product/index/id/3405622/
3475287,Конструктор LEGO Friends Парк Хартлейк Сити 41447,4309,,https://www.detmir.ru/product/index/id/3475287/
3596755,Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе 10946,2989,,https://www.detmir.ru/product/index/id/3596755/
3596921,Конструктор LEGO City Wildlife 60302,10189,7999,https://www.detmir.ru/product/index/id/3596921/
3596888,Конструктор LEGO City Stunt 60298,709,629,https://www.detmir.ru/product/index/id/3596888/
3599720,Конструктор LEGO VIDIYO Folk Fairy BeatBox (Битбокс Феи Фолка) 43110,1789,799,https://www.detmir.ru/product/index/id/3599720/
3405598,Конструктор LEGO Super Heroes Вечные перед лицом Аришема 76155,7789,6899,https://www.detmir.ru/product/index/id/3405598/
3405628,Конструктор LEGO Ninjago Легендарные битвы: Кай против Армии скелетов 71730,949,599,https://www.detmir.ru/product/index/id/3405628/
3405621,Конструктор LEGO Ninjago Дракон из джунглей 71746,4309,,https://www.detmir.ru/product/index/id/3405621/
3596878,Конструктор LEGO Disney Princess Книга сказочных приключений Ариэль Белль Золушки и Тианы 43193,2389,,https://www.detmir.ru/product/index/id/3596878/
3092804,Конструктор LEGO DUPLO Town Рельсы (10882),2149,,https://www.detmir.ru/product/index/id/3092804/
3244544,Конструктор LEGO Minions Тренировочный полёт 75547,3589,,https://www.detmir.ru/product/index/id/3244544/
3596977,Конструктор LEGO Ninjago Атака огненного дракона 71753,5389,,https://www.detmir.ru/product/index/id/3596977/
3475282,Конструктор LEGO DUPLO Classic Веселый день рождения 10958,6589,4999,https://www.detmir.ru/product/index/id/3475282/
3597021,Конструктор LEGO Star Wars Дуэль на Мандалоре 75310,2149,1499,https://www.detmir.ru/product/index/id/3597021/
3596782,Конструктор LEGO Friends Школа Хартлейк Сити 41682,7789,,https://www.detmir.ru/product/index/id/3596782/
618971,Строительная пластина LEGO Classic Серая (10701),1549,1299,https://www.detmir.ru/product/index/id/618971/
3596836,Конструктор LEGO Dots Большой набор Летнее настроение 41937,3109,,https://www.detmir.ru/product/index/id/3596836/
3226570,Конструктор LEGO Classic Кубики и домики 11008,1909,,https://www.detmir.ru/product/index/id/3226570/
3596822,Конструктор LEGO Dots Подставка для карандашей 41936,2029,,https://www.detmir.ru/product/index/id/3596822/
3597053,Конструктор LEGO Jurassic World Погоня за карнотавром 76941,5509,,https://www.detmir.ru/product/index/id/3597053/
3226650,Конструктор LEGO City Police Погоня на полицейском вертолете 60243,2989,2199,https://www.detmir.ru/product/index/id/3226650/
3244585,Конструктор LEGO Ninjago Истребитель Кая 71704,4309,,https://www.detmir.ru/product/index/id/3244585/
3596783,Конструктор LEGO Friends Лесной клуб верховой езды 41683,7789,6799,https://www.detmir.ru/product/index/id/3596783/
3405641,Конструктор LEGO Star Wars Испытание на Татуине 75299,3349,,https://www.detmir.ru/product/index/id/3405641/
3405529,Конструктор LEGO DUPLO Town Уход за животными на ферме 10949,889,749,https://www.detmir.ru/product/index/id/3405529/
3475286,Конструктор LEGO Friends Набор кубиков Хартлейк Сити 41431,4309,,https://www.detmir.ru/product/index/id/3475286/
